RunID,Tel,AbsGainMean,AbsGainErr,run_type,Time
79298,3,5.2854874147157185,0.007906396249088538,flasher,2015-11-15 04:03:12
79309,0,1.5409180572390566,0.002982906991202361,flasher,2015-11-17 04:00:13
79309,1,1.5797105604026849,0.0038428585945048605,flasher,2015-11-17 04:00:13
79309,2,1.5898607885906046,0.0030287136995325314,flasher,2015-11-17 04:00:13
79309,3,1.6815805484949826,0.0033570254843840624,flasher,2015-11-17 04:00:13
79314,0,5.127951253378377,0.008649608623608012,flasher,2015-11-17 06:17:36
79314,1,5.229376835570471,0.00983853885292547,flasher,2015-11-17 06:17:36
79314,2,5.2849353489932875,0.008331819235439204,flasher,2015-11-17 06:17:36
79314,3,5.487446909699001,0.008547558488687549,flasher,2015-11-17 06:17:36
79339,0,1.5640388817567565,0.0029134423045187887,flasher,2015-11-18 05:36:16
79339,1,1.5951381912751694,0.0038739397330258,flasher,2015-11-18 05:36:16
79339,2,1.5865002281879195,0.0027689104024809156,flasher,2015-11-18 05:36:16
79339,3,1.6757810602006684,0.0030768514973110958,flasher,2015-11-18 05:36:16
79350,0,5.091471198653198,0.008099859839382205,flasher,2015-11-18 10:27:56
79350,1,5.184419114093962,0.009485218937959233,flasher,2015-11-18 10:27:56
79350,2,5.229681943143816,0.008685119743586024,flasher,2015-11-18 10:27:56
79350,3,5.434858657718117,0.008966056311113687,flasher,2015-11-18 10:27:56
79371,0,1.5113644949494953,0.0026522630341071405,flasher,2015-11-19 04:29:42
79371,1,1.577480634228187,0.0037969839413988763,flasher,2015-11-19 04:29:42
79371,2,1.5526605335570465,0.002634311577368579,flasher,2015-11-19 04:29:42
79371,3,1.6420400066889647,0.003012145235833168,flasher,2015-11-19 04:29:42
79379,0,5.055574793220342,0.007880519688268145,flasher,2015-11-19 07:52:14
79379,1,5.1508249999999975,0.009476054342056705,flasher,2015-11-19 07:52:14
79379,2,5.17942185858586,0.007823845152992321,flasher,2015-11-19 07:52:14
79379,3,5.393338247491639,0.008704304068095628,flasher,2015-11-19 07:52:14
79402,0,1.5001834087837846,0.0025416878710013253,flasher,2015-11-20 06:36:08
79402,1,1.5501576342281886,0.0038180851826527863,flasher,2015-11-20 06:36:08
79402,2,1.5306581040268452,0.0026191563546102193,flasher,2015-11-20 06:36:08
79402,3,1.6218789163879597,0.0029025589016636474,flasher,2015-11-20 06:36:08
79422,0,1.5047005589225588,0.0026532885396578034,flasher,2015-11-21 06:30:49
79422,1,1.5646485536912758,0.0036168712778705185,flasher,2015-11-21 06:30:49
79422,2,1.5442552449664428,0.0026946065054319927,flasher,2015-11-21 06:30:49
79422,3,1.634264538461538,0.002927375458333527,flasher,2015-11-21 06:30:49
79440,0,1.5122407878787878,0.0025855449125447632,flasher,2015-11-22 09:57:24
79440,1,1.5683272181208048,0.0036590116206438286,flasher,2015-11-22 09:57:24
79440,2,1.545957453020135,0.0025423370874185416,flasher,2015-11-22 09:57:24
79440,3,1.6355674448160535,0.002857792591630326,flasher,2015-11-22 09:57:24
79470,0,1.4973456790540542,0.0024804930017725832,flasher,2015-11-28 03:25:44
79470,1,1.5583013624161073,0.0035744252453123165,flasher,2015-11-28 03:25:44
79470,2,1.5430148175675675,0.00271663715075141,flasher,2015-11-28 03:25:44
79470,3,1.6307596187290971,0.0028996578408532715,flasher,2015-11-28 03:25:44
79481,0,1.5114701655405398,0.002613311206025479,flasher,2015-11-29 04:44:22
79481,1,1.577557335570469,0.003794960263231137,flasher,2015-11-29 04:44:22
79481,2,1.5605575436241614,0.0027010079743176128,flasher,2015-11-29 04:44:22
79481,3,1.6510483210702331,0.003037760248692378,flasher,2015-11-29 04:44:22
79520,0,1.5324818378378384,0.0027483276409548357,flasher,2015-12-01 08:23:58
79520,1,1.6074892449664424,0.003960296010779517,flasher,2015-12-01 08:23:58
79520,2,1.5774979598662204,0.002857879270751572,flasher,2015-12-01 08:23:58
79520,3,1.6756478227424765,0.0031673267406407586,flasher,2015-12-01 08:23:58
79554,0,1.5189747939189195,0.002631400874749599,flasher,2015-12-02 10:30:00
79554,1,1.5786511275167792,0.003928654086852366,flasher,2015-12-02 10:30:00
79554,2,1.5628866006711417,0.002862230640432172,flasher,2015-12-02 10:30:00
79554,3,1.6506618862876246,0.003118430965679332,flasher,2015-12-02 10:30:00
79718,0,5.3517495270270246,0.009296762059546364,flasher,2015-12-08 05:31:47
79718,1,5.455291397306398,0.01054520240229219,flasher,2015-12-08 05:31:47
79718,2,5.507929674496652,0.008545445519596483,flasher,2015-12-08 05:31:47
79718,3,5.742735177852353,0.009064839072482275,flasher,2015-12-08 05:31:47
79769,0,5.114346894915254,0.011269590602866015,flasher,2015-12-10 08:16:15
79769,1,5.147980761744965,0.009884954005158045,flasher,2015-12-10 08:16:15
79769,2,5.219598607382551,0.007953990210342935,flasher,2015-12-10 08:16:15
79769,3,5.441873428093641,0.009336144152363663,flasher,2015-12-10 08:16:15
79886,0,1.5006416047297286,0.002400532431938441,flasher,2015-12-17 04:22:23
79886,1,1.582924741610737,0.004083938604935261,flasher,2015-12-17 04:22:23
79886,2,1.5748277926421408,0.0029585533789286745,flasher,2015-12-17 04:22:23
79886,3,1.6709998862876265,0.0030991258160683616,flasher,2015-12-17 04:22:23
79911,0,1.4852617744107748,0.0024247233248672726,flasher,2015-12-18 04:20:36
79911,1,1.5641540335570472,0.0038677175554353727,flasher,2015-12-18 04:20:36
79911,2,1.5465315402684563,0.0027558643464811712,flasher,2015-12-18 04:20:36
79911,3,1.6423061672240806,0.0029849257025247773,flasher,2015-12-18 04:20:36
79964,0,5.2710402289562275,0.009597174109324317,flasher,2015-12-28 02:24:25
79964,1,5.179494835570475,0.010836200033502455,flasher,2015-12-28 02:24:25
79964,2,5.262557546979866,0.009459672608899064,flasher,2015-12-28 02:24:25
79964,3,5.465151190635452,0.008870050407802985,flasher,2015-12-28 02:24:25
79967,0,1.556241850847458,0.00296688680526757,flasher,2015-12-28 04:01:40
79967,1,1.5874298389261736,0.004130753622232365,flasher,2015-12-28 04:01:40
79967,2,1.574608494983277,0.0029214094269731246,flasher,2015-12-28 04:01:40
79967,3,1.6682522449664434,0.0031108236812476017,flasher,2015-12-28 04:01:40
79975,0,5.127069717171714,0.00859398780831812,flasher,2015-12-29 02:20:47
79975,1,5.056635708053693,0.010562091616487251,flasher,2015-12-29 02:20:47
79975,2,5.126553067114095,0.008321561043609836,flasher,2015-12-29 02:20:47
79975,3,5.291721104026846,0.009077386689487007,flasher,2015-12-29 02:20:47
79983,0,1.536195239057239,0.002948933950220189,flasher,2015-12-29 06:24:19
79983,1,1.564316097315436,0.003995451303810841,flasher,2015-12-29 06:24:19
79983,2,1.5414293825503362,0.0027637568361794642,flasher,2015-12-29 06:24:19
79983,3,1.6228871170568564,0.003078875057217103,flasher,2015-12-29 06:24:19
79988,0,5.2390413535353515,0.009548688502391586,flasher,2015-12-30 03:48:18
79988,1,5.148525557046979,0.011216539398420907,flasher,2015-12-30 03:48:18
79988,2,5.192669454545455,0.009204702220072414,flasher,2015-12-30 03:48:18
79988,3,5.3775502147651,0.008739616795912038,flasher,2015-12-30 03:48:18
80003,0,1.534605557432434,0.00296354829057278,flasher,2015-12-30 11:01:45
80003,1,1.5697068724832208,0.004216386827628835,flasher,2015-12-30 11:01:45
80003,2,1.531708466442952,0.0028671716427878294,flasher,2015-12-30 11:01:45
80003,3,1.6250474295302018,0.0030841379537603388,flasher,2015-12-30 11:01:45
80011,0,5.067750337837837,0.008787135381323873,flasher,2015-12-31 03:15:00
80011,1,5.01734660535117,0.010926713559887604,flasher,2015-12-31 03:15:00
80011,2,5.059180936454849,0.008531831297098304,flasher,2015-12-31 03:15:00
80011,3,5.2200767424749115,0.008909189535465161,flasher,2015-12-31 03:15:00
80026,0,4.9598554309764245,0.008445244639638985,flasher,2016-01-01 06:06:48
80026,1,5.018298926174493,0.010721154122647427,flasher,2016-01-01 06:06:48
80026,2,5.032459251677851,0.008142037687809854,flasher,2016-01-01 06:06:48
80026,3,5.221536886287625,0.00814317698993983,flasher,2016-01-01 06:06:48
80031,0,1.5297455791245804,0.003010100965542355,flasher,2016-01-01 11:36:27
80031,1,1.5707642114093954,0.004184828551831228,flasher,2016-01-01 11:36:27
80031,2,1.5560459431438143,0.002784830979645779,flasher,2016-01-01 11:36:27
80031,3,1.6483827491638787,0.0030087703544346782,flasher,2016-01-01 11:36:27
