RunID,Tel,AbsGainMean,AbsGainErr,Time,Type
83963,1,4.983005654362416,0.006487781464916397,2016-11-30 11:02:15,STD
83963,2,5.244416570945949,0.007776777442461911,2016-11-30 11:02:15,STD
83963,3,5.461830234113712,0.007935760676218748,2016-11-30 11:02:15,STD
84010,0,4.966948494949497,0.00706264511497093,2016-12-02 05:34:13,STD
84010,1,4.910679491638799,0.006608175878878636,2016-12-02 05:34:13,STD
84010,2,5.169078479729731,0.00709879045274006,2016-12-02 05:34:13,STD
84010,3,5.406691922818792,0.008583809928810282,2016-12-02 05:34:13,STD
84066,0,4.896073727272731,0.006734390274769199,2016-12-05 09:51:46,STD
84066,1,4.7650560033444815,0.006333520808550185,2016-12-05 09:51:46,STD
84066,2,5.033888273648648,0.006741870173177758,2016-12-05 09:51:46,STD
84066,3,5.260641074324322,0.007429558282074867,2016-12-05 09:51:46,STD
84079,0,1.4443232162162167,0.0021624027868658072,2016-12-06 04:41:13,RHV
84079,1,1.5063068561872903,0.002133225759410397,2016-12-06 04:41:13,RHV
84079,2,1.5047213838383842,0.002186768807994532,2016-12-06 04:41:13,RHV
84079,3,1.607106822147652,0.002642303352843233,2016-12-06 04:41:13,RHV
84101,0,5.218728006756758,0.007440715678020831,2016-12-08 08:13:42,STD
84101,1,5.397357612040134,0.00796692229049021,2016-12-08 08:13:42,STD
84101,2,5.434094476351349,0.007235825606184349,2016-12-08 08:13:42,STD
84101,3,6.0346396889632095,0.009637195226724774,2016-12-08 08:13:42,STD
84123,0,1.4303914646464646,0.0021067596673886822,2016-12-09 07:59:10,RHV
84123,1,1.4891299030100331,0.002116796608420116,2016-12-09 07:59:10,RHV
84123,2,1.4817135420875416,0.0021502485797358557,2016-12-09 07:59:10,RHV
84123,3,1.5776112876254171,0.002525961173513187,2016-12-09 07:59:10,RHV
84127,0,4.930027783783782,0.0070235997847784785,2016-12-09 09:29:10,STD
84127,1,4.82545681605351,0.006359799860252925,2016-12-09 09:29:10,STD
84127,2,5.100966847972967,0.006934196620277565,2016-12-09 09:29:10,STD
84127,3,5.3054117080536916,0.007818884943108673,2016-12-09 09:29:10,STD
84136,0,4.973063006734007,0.00725730089446451,2016-12-10 11:21:59,STD
84136,1,5.064515317725755,0.0070906401500927295,2016-12-10 11:21:59,STD
84136,2,5.177138871621619,0.006989294500335994,2016-12-10 11:21:59,STD
84136,3,5.452463474916389,0.008385891820595246,2016-12-10 11:21:59,STD
84156,0,1.4198505878378378,0.002090227890415817,2016-12-16 03:37:47,RHV
84156,1,1.4798519565217394,0.002065135118822362,2016-12-16 03:37:47,RHV
84156,2,1.480887057432433,0.0020350331492234234,2016-12-16 03:37:47,RHV
84156,3,1.5838770973154368,0.002565013743078709,2016-12-16 03:37:47,RHV
84162,0,4.927263702702708,0.006560956747078457,2016-12-17 02:34:59,STD
84162,1,4.830750274247492,0.0067268962264038345,2016-12-17 02:34:59,STD
84162,2,5.118991364864868,0.006762408803324266,2016-12-17 02:34:59,STD
84162,3,5.356820354515056,0.007994827635316028,2016-12-17 02:34:59,STD
84173,0,5.060030522033898,0.0069018097340379616,2016-12-18 03:14:13,STD
84173,1,5.028689434782608,0.007066651750296783,2016-12-18 03:14:13,STD
84173,2,5.284460276094277,0.007175447268929214,2016-12-18 03:14:13,STD
84173,3,5.532435310810811,0.007836421583617227,2016-12-18 03:14:13,STD
84181,0,1.4709022533783789,0.002213605264136884,2016-12-18 06:25:27,RHV
84181,1,1.5414855785953163,0.002189885089399775,2016-12-18 06:25:27,RHV
84181,2,1.5354506486486483,0.0021517311981785877,2016-12-18 06:25:27,RHV
84181,3,1.6424179496644289,0.002727273895449529,2016-12-18 06:25:27,RHV
84186,0,4.9852402601351375,0.007137425039791091,2016-12-19 03:36:52,STD
84186,1,4.9290064849498325,0.00681642314472501,2016-12-19 03:36:52,STD
84186,2,5.170010209459461,0.007607427078041649,2016-12-19 03:36:52,STD
84186,3,5.391881110367891,0.007881041432475502,2016-12-19 03:36:52,STD
84202,0,4.917979422297294,0.006917712182219702,2016-12-20 03:06:20,STD
84202,1,4.8074794013377895,0.006705523190909912,2016-12-20 03:06:20,STD
84202,2,5.065616905723903,0.006959578366987725,2016-12-20 03:06:20,STD
84202,3,5.304311698996656,0.0077903568705087545,2016-12-20 03:06:20,STD
84235,0,4.9569344290540585,0.007197065004054741,2016-12-24 08:52:38,STD
84235,1,4.863386739130437,0.006292218080875299,2016-12-24 08:52:38,STD
84235,2,5.166714709459459,0.007309345773335995,2016-12-24 08:52:38,STD
84235,3,5.381318242424248,0.008258326658909593,2016-12-24 08:52:38,STD
84270,0,4.971279151515155,0.007019790221412681,2016-12-27 02:49:40,STD
84270,1,4.9342376488294315,0.006822995441258293,2016-12-27 02:49:40,STD
84270,2,5.1691871919191925,0.00751448080154633,2016-12-27 02:49:40,STD
84270,3,5.5236652416107415,0.007611156552875919,2016-12-27 02:49:40,STD
84297,0,4.899962216216213,0.007191799760660508,2016-12-29 02:51:58,STD
84297,1,4.753952367892981,0.006707291238464001,2016-12-29 02:51:58,STD
84297,2,5.032355124579125,0.0070386742497687655,2016-12-29 02:51:58,STD
84297,3,5.275304503355704,0.007633853975925611,2016-12-29 02:51:58,STD
84300,0,4.9405056452702665,0.006874223515374213,2016-12-30 02:31:57,STD
84300,1,4.8803254581939814,0.006839227357383057,2016-12-30 02:31:57,STD
84300,2,5.123177979729732,0.007210297769929945,2016-12-30 02:31:57,STD
84300,3,5.352891357859534,0.008240589346850428,2016-12-30 02:31:57,STD
84334,0,4.960762591216218,0.0071864896989060015,2017-01-03 08:24:28,STD
84334,1,4.897444117056859,0.006916260261429296,2017-01-03 08:24:28,STD
84334,2,5.167642818181824,0.007498700985725213,2017-01-03 08:24:28,STD
84334,3,5.3922759461279455,0.008062136983286313,2017-01-03 08:24:28,STD
84351,0,4.966307986486486,0.006839045926752252,2017-01-04 06:36:47,STD
84351,1,4.979319518394647,0.0068159171804306464,2017-01-04 06:36:47,STD
84351,2,5.193077581081081,0.007128129661217801,2017-01-04 06:36:47,STD
84351,3,5.411232755852847,0.008604689302575835,2017-01-04 06:36:47,STD
84359,0,5.094299516891888,0.006938785266368015,2017-01-05 06:29:12,STD
84359,1,5.2697468327759225,0.0077787910271235735,2017-01-05 06:29:12,STD
84359,2,5.354776754208752,0.007612750828547667,2017-01-05 06:29:12,STD
84359,3,5.9012432114093984,0.009727527149454721,2017-01-05 06:29:12,STD
84378,0,4.912447272727274,0.007302404500343247,2017-01-06 10:56:05,STD
84378,1,4.797468384615388,0.0065427729035417576,2017-01-06 10:56:05,STD
84378,2,5.076619552188551,0.006789707332618303,2017-01-06 10:56:05,STD
84378,3,5.273843239057238,0.007645730590745826,2017-01-06 10:56:05,STD
84386,0,5.0341799225589225,0.007117460849503006,2017-01-07 09:49:55,STD
84386,1,5.135671458193982,0.007396854799860366,2017-01-07 09:49:55,STD
84386,2,5.277492662162159,0.007547406086765862,2017-01-07 09:49:55,STD
84386,3,5.597341016891893,0.008738675584947725,2017-01-07 09:49:55,STD
84397,0,4.958139875000001,0.0065045863840122176,2017-01-08 10:44:32,STD
84397,1,5.038270812709034,0.0073528206404621,2017-01-08 10:44:32,STD
84397,2,5.176354444444441,0.007412974217996505,2017-01-08 10:44:32,STD
84397,3,5.437111745819397,0.008785833703015777,2017-01-08 10:44:32,STD
84405,0,4.893526631756757,0.006739622985607025,2017-01-09 12:14:35,STD
84405,1,4.765294294314382,0.0064104928533401905,2017-01-09 12:14:35,STD
84405,2,5.044648371621623,0.006495423651451185,2017-01-09 12:14:35,STD
