# #MJD, AbsGain, AbsGainErr
5.449562888888888847e+04, 5.004885542000002907e+00, 2.678280788414611965e-02
5.449662857638888818e+04, 4.985766057999997614e+00, 2.745722921518359977e-02
5.449762895833333459e+04, 4.930744979999993838e+00, 2.276545805038276277e-02
5.449862896990740410e+04, 1.927746561339999687e+02, 8.413931022134404358e+00
5.450022993055555708e+04, 4.920645304000004217e+00, 2.408519280207354479e-02
5.450262901620370394e+04, 5.337686686000003178e+00, 4.054211074980759028e-02
5.450413410879629373e+04, 5.905859360000002667e+00, 5.664195963955777346e-02
5.450462952546296583e+04, 5.234088585999999488e+00, 3.122620338552102234e-02
5.450562895833333459e+04, 8.492875869999995331e+00, 1.786775893383038272e-01
5.450662908564815007e+04, 5.033150448000002442e+00, 2.319478983246974282e-02
5.450771942129629315e+04, 6.522885500000000114e+00, 8.231400329221751078e-02
5.450985324074074015e+04, 5.392653400000004815e+00, 3.012368465668295581e-02
5.450962895833333459e+04, 5.982709362000000475e+00, 5.128058591406009503e-02
5.451068265046296438e+04, 5.007126254000001886e+00, 2.515616189525871765e-02
5.452162869212962687e+04, 5.051483080000003234e+00, 2.354587750345692176e-02
5.452262839120370336e+04, 4.911686461999996034e+00, 2.350330465624967183e-02
5.452362854166666511e+04, 4.841477552000002404e+00, 2.206653939490421656e-02
5.452462878472221928e+04, 4.989430639999999251e+00, 3.054448593961812952e-02
5.452562871527778043e+04, 4.764001039999993026e+00, 2.146611687652561634e-02
5.452864045138889196e+04, 4.957096180000002406e+00, 2.396627437555190823e-02
5.452762899305555766e+04, 4.839123335999997444e+00, 2.182704194918731397e-02
5.452864795138889167e+04, 5.277394759999993745e+00, 4.004262821312844917e-02
5.452963204861111444e+04, 4.795206060000006154e+00, 2.142249656092099636e-02
5.453162920138888876e+04, 4.896796514000000045e+00, 2.867150540275951315e-02
5.453575464120370452e+04, 4.780732140000007568e+00, 2.049497067859333554e-02
5.453578972222222365e+04, 5.521283226000000433e+00, 4.698608996440553631e-02
5.453584672453703388e+04, 5.984319940000003335e+00, 7.342308672610840803e-02
5.453658829861111008e+04, 6.337664819999998755e+00, 7.739150890349789924e-02
5.453763157407407562e+04, 5.001912060000002214e+00, 2.336455746590020838e-02
5.453875023148148466e+04, 7.216067179999999581e+00, 1.244753473953891243e-01
5.453958733796296292e+04, 5.371636680000003494e+00, 4.245128965669128784e-02
5.454058726851851679e+04, 4.785551059999997747e+00, 2.061998266628692691e-02
5.455268043981481605e+04, 7.792667620000010231e+00, 1.465084971607195918e-01
5.455358732638888614e+04, 4.936868259999996233e+00, 2.182971904824901679e-02
5.455458728009259357e+04, 4.833969939999994914e+00, 2.278602825028977485e-02
5.455558719907407067e+04, 6.366523080000001222e+00, 7.872063819439240051e-02
5.455658722222222423e+04, 4.914773106000000169e+00, 2.714464947419916591e-02
5.455758736111110920e+04, 5.403114799999999995e+00, 3.323660319326134094e-02
5.455858716435185488e+04, 5.092337720000000623e+00, 2.455677388275112616e-02
5.455958722222222423e+04, 5.661544499999998870e+00, 5.649767051981807731e-02
5.456058712962963182e+04, 5.522501979999995037e+00, 3.825503960253789915e-02
5.456258695601851650e+04, 4.866166600000000564e+00, 2.101203450465593398e-02
5.456458734953703970e+04, 4.966176879999999905e+00, 2.768006340390533754e-02
5.456592456018518715e+04, 5.354429719999995285e+00, 4.505480290585728298e-02
5.460060204861110833e+04, 6.164403020000002620e+00, 6.342339182127228192e-02
5.460076136574074189e+04, 6.864825741999997177e+00, 9.889653126646884285e-02
5.461158737268518598e+04, 5.278015491999992648e+00, 2.948300287180187496e-02
5.461264538194444322e+04, 6.559788654000008101e+00, 7.694739576203110665e-02
5.461269358796296001e+04, 5.496192020000002287e+00, 2.760173497011152166e-02
5.461358741898147855e+04, 6.338852420000000265e+00, 8.380071371903663469e-02
5.461458753472222452e+04, 6.002640179999997549e+00, 7.150711511600464643e-02
5.461558790509259416e+04, 5.288319700000002399e+00, 3.786574577389550250e-02
5.461658817129629460e+04, 4.943960119999998071e+00, 2.610371309125203432e-02
5.461758746527777839e+04, 4.874226632000000059e+00, 1.975092121527126723e-02
5.461858767361110949e+04, 5.151233440000000385e+00, 3.263289088079986133e-02
5.461958784722222481e+04, 4.839910140000003302e+00, 2.037148352013617991e-02
5.462058754629629402e+04, 5.632168140000005430e+00, 4.434537917395063589e-02
5.462158760416666337e+04, 4.877361159999996865e+00, 1.974494865838388388e-02
5.462258770833333256e+04, 4.772125019999998941e+00, 1.855033005446518959e-02
5.462358795138888672e+04, 4.922164759999997585e+00, 2.228350016716278484e-02
5.462458759259259386e+04, 5.522135859999997898e+00, 4.919279460530066872e-02
5.462558771990740934e+04, 5.819393019999997918e+00, 5.666852729798430022e-02
5.465058644675926189e+04, 7.606662579999994733e+00, 1.069388626487472321e-01
5.474280523148148495e+04, 5.561523000000000216e+00, 3.024081286021663637e-02
5.474459138888888992e+04, 9.230161199999999511e+00, 9.060845291708399807e-02
5.475758761574074015e+04, 6.170349540000000133e+00, 5.142402936925766221e-02
5.475858758101851708e+04, 6.308223640000004018e+00, 5.311878112106965810e-02
5.476158770833333256e+04, 5.851185181999999152e+00, 3.885680898347535633e-02
5.476258763888888643e+04, 6.183906619999999243e+00, 5.282962575267725197e-02
5.476458776620370190e+04, 5.491712440000005913e+00, 3.140826104520669931e-02
5.476558784722222481e+04, 5.245846284000004189e+00, 2.586803081867591544e-02
5.476658822916666395e+04, 5.554906500000003078e+00, 3.173552135620989756e-02
5.477058777777777868e+04, 5.034717839999999001e+00, 2.220954245926116261e-02
5.477262954861111211e+04, 4.998801660000002478e+00, 2.189065898586026876e-02
5.477462956018518162e+04, 5.007040560000002749e+00, 2.235384304121571658e-02
5.477562950231481227e+04, 5.109817179999997627e+00, 2.310486823688186891e-02
5.477762925925925811e+04, 4.961077580000003096e+00, 2.193612204047554540e-02
5.477862929398148117e+04, 5.284721939999999840e+00, 2.612939966985492954e-02
5.477962924768518860e+04, 5.169263239999996706e+00, 2.422882658732941966e-02
