#  FERMI ALL-SKY VARIABILITY ANALYSIS (FAVA) 
#  Ackermann et al (The Astrophysical Journal, 771:57 (12pp), 2013 July 1)
# Fava ID , RA (J2000.0) , Dec (J2000.0) , # HE Flares , # Neg. Flares , LAT Assoc. , Assoc. , Atel # ,
* V 14
J0808-08 , 08 08 33.6 , -08 12 36.0 , 6 , 0 , 2FGL_J0808.2-0750 , PKS_0805-07 , 0 ,
J0811+02 , 08 11 11.8 , +02 29 24.0 , 1 , 0 , none , none , 0 ,
J0831+04 , 08 31 07.0 , +04 12 35.9 , 1 , 0 , 2FGL_J0831.9+0429 , PKS_0829+046 , 0 ,
J0839+00 , 08 39 55.0 , +00 50 23.9 , 1 , 0 , 2FGL_J0839.6+0059 , PKS_0837+012 , 0 ,
J0845+70 , 08 45 43.0 , +70 46 11.9 , 1 , 0 , 2FGL_J0841.6+7052 , 4C_+71.07 , 0 ,
J0849+50 , 08 49 16.6 , +50 34 12.0 , 6 , 0 , Fermi_J0849+5108 , SBS_0846+513 , 3452 ,
J0849-12 , 08 49 38.2 , -12 16 11.9 , 3 , 0 , 2FGL_J0850.2-1212 , BZQ_J0850-1213 , 0 ,
J0855+20 , 08 55 04.8 , +20 26 59.9 , 4 , 0 , 2FGL_J0854.8+2005 , OJ_287 , 0 ,
J0905-35 , 09 05 11.8 , -35 52 11.9 , 1 , 0 , 2FGL_J0904.8-3513 , NVSS_J090442-351423 , 0 ,
J0908+60 , 09 08 07.0 , +60 32 23.9 , 1 , 0 , none , none , 0 ,
J0907-02 , 09 07 50.3 , -02 44 24.0 , 0 , 0 , 2FGL_J0909.7-0229 , PKS_0907-023 , 0 ,
J0908-50 , 09 08 57.6 , -50 10 12.0 , 1 , 0 , 2FGL_J0910.4-5050 , AT20G_J091058-504807 , 0 ,
J0910+01 , 09 10 40.7 , +01 35 24.0 , 1 , 0 , 2FGL_J0909.1+0121 , PKS_0906+01 , 0 ,
J0920+44 , 09 20 38.2 , +44 33 36.0 , 5 , 0 , 2FGL_J0920.9+4441 , S4_0917+44 , 0 ,
J0924+28 , 09 24 33.5 , +28 10 12.0 , 1 , 0 , 2FGL_J0924.0+2819 , B2_0920+28 , 0 ,
J0948+01 , 09 48 40.7 , +01 07 47.9 , 0 , 0 , 2FGL_J0948.8+0020 , PMN_J0948+0022 , 0 ,
J0955+65 , 09 55 02.4 , +65 52 47.8 , 1 , 0 , 2FGL_J0958.6+6533 , S4_0954+65 , 0 ,
J0957+24 , 09 57 31.0 , +24 22 12.0 , 1 , 0 , 2FGL_J0956.9+2516 , OK_290 , 0 ,
J0957-13 , 09 57 43.1 , -13 54 00.0 , 1 , 0 , 2FGL_J0957.6-1350 , PMN_J0957-1350 , 0 ,
J1013+24 , 10 13 52.6 , +24 19 12.0 , 1 , 0 , 2FGL_J1012.6+2440 , MG2_J101241+2439 , 0 ,
J1015+04 , 10 15 45.4 , +04 50 23.9 , 1 , 0 , 2FGL_J1016.0+0513 , TXS_1013+054 , 0 ,
J1023-31 , 10 23 07.2 , -31 55 47.9 , 1 , 0 , none , none , 0 ,
J1033+60 , 10 33 23.8 , +60 56 23.9 , 6 , 0 , 2FGL_J1033.9+6050 , S4_1030+61 , 0 ,
J1038-53 , 10 38 16.6 , -53 10 12.0 , 3 , 0 , Fermi_J1038-5314 , PMN_J1038-5311 , 3978 ,
J1040+06 , 10 40 40.6 , +06 12 35.9 , 1 , 0 , 2FGL_J1040.7+0614 , 4C_+06.41 , 0 ,
J1045+81 , 10 45 57.6 , +81 22 47.9 , 1 , 0 , 2FGL_J1042.6+8053 , S5_1039+81 , 0 ,
J1046-29 , 10 46 16.6 , -29 19 12.0 , 1 , 0 , 2FGL_J1045.5-2931 , PKS_B1043-291 , 0 ,
J1051+04 , 10 51 16.6 , +04 41 24.0 , 1 , 0 , none , none , 0 ,
J1100+00 , 11 00 43.0 , +00 54 36.0 , 0 , 0 , 2FGL_J1058.4+0133 , 4C_+01.28 , 0 ,
J1102+37 , 11 03 00.0 , +37 53 23.8 , 1 , 0 , 2FGL_J1104.4+3812 , Mkn_421 , 0 ,
J1110+34 , 11 10 19.0 , +34 49 47.9 , 0 , 0 , 2FGL_J1112.4+3450 , TXS_1109+350 , 0 ,
J1120-05 , 11 20 50.3 , -05 30 00.0 , 3 , 0 , 2FGL_J1121.5-0554 , PKS_1118-05 , 0 ,
J1124-64 , 11 24 50.2 , -64 25 48.0 , 0 , 0 , 1FGL_J1122.9-6415 , PMN_J1123-6417 , 0 ,
J1129-19 , 11 29 19.2 , -19 13 48.0 , 5 , 0 , 2FGL_J1126.6-1856 , PKS_1124-186 , 3207 ,
J1136-06 , 11 36 47.9 , -06 12 35.9 , 0 , 0 , none , none , 0 ,
J1145+39 , 11 45 28.8 , +39 55 11.8 , 3 , 0 , 2FGL_J1146.9+4000 , S4_1144+40 , 0 ,
J1152+49 , 11 52 57.6 , +49 43 47.9 , 5 , 0 , 2FGL_J1153.2+4935 , OM_484 , 0 ,
J1200+29 , 12 00 55.1 , +29 30 36.0 , 6 , 0 , 2FGL_J1159.5+2914 , Ton_599 , 0 ,
J1205+54 , 12 05 26.4 , +54 53 59.9 , 1 , 0 , 2FGL_J1208.8+5441 , TXS_1206+549 , 0 ,
J1217+29 , 12 17 26.2 , +29 56 24.0 , 1 , 0 , 2FGL_J1217.8+3006 , 1ES_1215+303 , 0 ,
J1224+21 , 12 24 52.8 , +21 22 12.0 , 27 , 82 , 2FGL_J1224.9+2122 , 4C_+21.35 , 0 ,
J1229+02 , 12 29 43.1 , +02 09 36.0 , 10 , 14 , 2FGL_J1229.1+0202 , 3C_273 , 0 ,
J1240+04 , 12 40 28.6 , +04 24 36.0 , 2 , 0 , 2FGL_J1239.5+0443 , MG1_J123931+0443 , 0 ,
J1246-25 , 12 46 14.4 , -25 52 47.9 , 6 , 0 , 2FGL_J1246.7-2546 , PKS_1244-255 , 0 ,
J1257-05 , 12 57 04.8 , -05 49 12.0 , 10 , 10 , 2FGL_J1256.1-0547 , 3C_279 , 0 ,
J1300-22 , 13 00 09.5 , -22 44 23.9 , 1 , 0 , 2FGL_J1258.8-2223 , PKS_1256-220 , 0 ,
J1303-64 , 13 03 57.4 , -64 55 12.0 , 0 , 0 , Fermi_J1302-6350 , PSRB_1259-63 , 3085 ,
J1312+55 , 13 12 07.0 , +55 17 59.9 , 1 , 0 , none , none , 0 ,
J1313+32 , 13 12 59.8 , +32 29 24.0 , 3 , 0 , 2FGL_J1310.6+3222 , OP_313 , 0 ,
J1313+48 , 13 13 09.5 , +48 51 00.0 , 7 , 0 , 2FGL_J1312.8+4828 , GB_1310+487 , 0 ,
J1318-33 , 13 18 52.7 , -33 37 48.0 , 1 , 0 , 2FGL_J1315.9-3339 , PKS_1313-333 , 0 ,
J1329-70 , 13 29 16.6 , -70 10 11.8 , 2 , 0 , 2FGL_J1330.1-7002 , PKS_1326-697 , 0 ,
J1331-55 , 13 31 26.4 , -55 51 00.0 , 0 , 0 , 2FGL_J1329.2-5608 , PMN_J1329-5608 , 0 ,
J1332-04 , 13 32 43.2 , -04 58 11.9 , 7 , 1 , 2FGL_J1332.0-0508 , PKS_1329-049 , 0 ,
J1333+04 , 13 33 38.3 , +04 41 24.0 , 1 , 0 , none , none , 0 ,
J1346+44 , 13 46 33.5 , +44 52 11.9 , 8 , 0 , 2FGL_J1345.4+4453 , B3_1343+451 , 0 ,
J1348-29 , 13 48 50.4 , -29 34 47.9 , 1 , 0 , 2FGL_J1351.3-2909 , PKS_1348-289 , 0 ,
J1351-11 , 13 51 07.2 , -11 10 11.9 , 4 , 0 , Fermi_J1349-1132 , PKS_1346-112 , 3788 ,
J1353+30 , 13 53 21.5 , +30 12 36.0 , 1 , 0 , 2FGL_J1350.8+3035 , B2_1348+30B , 0 ,
J1419+35 , 14 19 26.4 , +35 59 24.0 , 4 , 0 , none , none , 0 ,
J1428-41 , 14 28 21.6 , -41 49 47.9 , 6 , 4 , 2FGL_J1428.0-4206 , PKS_B1424-418 , 0 ,
J1459-35 , 14 59 02.2 , -35 34 12.0 , 6 , 0 , 2FGL_J1457.4-3540 , PKS_1454-354 , 0 ,
J1505+10 , 15 05 07.1 , +10 29 24.0 , 26 , 40 , 2FGL_J1504.3+1029 , PKS_1502+106 , 0 ,
J1513-09 , 15 13 21.6 , -09 07 11.9 , 19 , 76 , 2FGL_J1512.8-0906 , PKS_1510-08 , 0 ,
