#Source Name,R.A.,Decl.,l,b,95% conf. radius,Sqrt TS,Flux (100MeV-1GeV),Flux Unc. (100MeV-1GeV),Flux (1GeV-100GeV),Flux Unc. (1GeV-100GeV),Variability Flag,Sqrt TS (100MeV-1GeV),Sqrt TS (1GeV-100GeV),Gamma Assoc. 1,Gamma Assoc. 2,Gamma Assoc. 3,Class,Alt. Class,Assoc. 1,Assoc. 2
#
# Fermi catalogue released 20090209
#
# (see http://fermi.gsfc.nasa.gov/ssc/data/access/lat/bright_src_list/)
#
* V 11
0FGL J0534.6+2201,83.653,22.022,184.562,-5.764,0.046,139.200,2.040e-06,9.200e-08,1.540e-07,4.400e-09,F,116.600,92.900,3EG J0534+2200,EGR J0534+2159,1AGL J0535+2205,PSR,pwn,PSR J0534+2200,Crab,
0FGL J0538.4-6856,84.612,-68.940,279.281,-31.713,0.325,17.800,1.910e-07,2.600e-08,6.400e-09,1.200e-09,F,18.400,9.500,3EG J0533-6916,,,,,LMC,,
0FGL J0538.8-4403,84.725,-44.062,250.058,-31.075,0.073,48.600,3.170e-07,1.800e-08,2.510e-08,1.900e-09,T,38.800,32.500,3EG J0540-4402,EGR J0540-4358       ,1AGL J0538-4424      ,bzb,,CRATES J0538-4405,PKS 0537-441,
0FGL J0613.9-0202,93.485,-2.047,210.468,-9.274,0.175,10.000,6.800e-08,2.300e-08,4.700e-09,9.000e-10,F,6.200,8.500,,,,PSR,,PSR J0613-0200,,
0FGL J0614.3-3330,93.577,-33.500,240.513,-21.801,0.083,28.900,5.400e-08,2.000e-09,1.640e-08,1.500e-09,F,15.700,25.400,3EG J0616-3310,EGR J0615-3308       ,,,,,,
0FGL J0617.4+2234,94.356,22.568,189.079,3.066,0.063,50.700,4.310e-07,2.500e-08,4.990e-08,2.700e-09,F,36.200,38.800,3EG J0617+2238,EGR J0617+2238       ,1AGL J0617+2236      , x,,,,
0FGL J0631.8+1034,97.955,10.570,201.302,0.507,0.151,10.400,6.900e-08,3.000e-08,7.400e-09,1.300e-09,F,6.400,8.800,,,,PSR,,PSR J0631+1036,,
0FGL J0633.5+0634,98.387,6.578,205.041,-0.957,0.106,23.400,1.890e-07,2.500e-08,1.600e-08,1.700e-09,F,17.400,16.900,EGR J0633+0646       ,,,PSR,,LAT PSR J0633+06,,
0FGL J0634.0+1745,98.503,17.760,195.155,4.285,0.043,283.200,2.862e-06,3.800e-08,6.161e-07,8.600e-09,F,206.000,207.700,3EG J0633+1751,EGR J0633+1750,1AGL J0634+1748,PSR,,PSR J0633+1746,Geminga,
0FGL J0643.2+0858,100.823,8.983,204.010,2.290,0.121,15.700,2.220e-07,2.800e-08,8.400e-09,1.400e-09,T,15.800,9.900,,,,,,,,
0FGL J0654.3+4513,103.590,45.220,171.228,19.369,0.075,29.200,1.910e-07,1.600e-08,1.260e-08,1.300e-09,T,22.500,20.400,,,,bzq,,CGRaBS J0654+4514,B3 0650+453,
0FGL J0654.3+5042,103.592,50.711,165.676,21.107,0.083,15.600,4.300e-08,1.200e-08,5.900e-09,9.000e-10,T,8.000,13.900,,,,bzu,,CGRaBS J0654+5042,,
0FGL J0700.0-6611,105.016,-66.199,276.778,-23.809,0.182,10.100,3.500e-08,0.000e+00,4.400e-09,9.000e-10,F,5.600,8.600,,,,bzu,,CRATES J0700-6610,PKS 0700-661,
0FGL J0712.9+5034,108.231,50.575,166.688,23.900,0.146,11.200,3.000e-08,7.000e-09,3.600e-09,8.000e-10,T,6.100,9.600,,,,bzb,,CGRaBS J0712+5033,,
0FGL J0714.2+1934,108.552,19.574,197.685,13.648,0.128,15.000,9.500e-08,1.600e-08,5.100e-09,9.000e-10,T,12.000,10.600,,,,bzq,,CLASS J0713+1935,,
0FGL J0719.4+3302,109.869,33.037,185.139,19.855,0.141,12.300,7.100e-08,1.500e-08,3.700e-09,8.000e-10,T,9.800,8.900,,,,bzq,,CRATES J0719+3307,TXS 0716+332,
0FGL J0722.0+7120,110.508,71.348,143.976,28.029,0.080,34.400,1.550e-07,1.600e-08,1.490e-08,1.300e-09,T,22.900,27.600,3EG J0721+7120,EGR J0723+7134       ,1AGL J0722+7125      ,bzb,,CGRaBS J0721+7120,S5 0716+71,
0FGL J0730.4-1142,112.607,-11.707,227.799,3.154,0.082,28.900,2.620e-07,2.200e-08,1.740e-08,1.600e-09,T,21.600,21.700,,,,bzq,,BZQ J0730-1141,PKS 0727-11,
0FGL J0738.2+1738,114.575,17.634,201.933,18.081,0.137,11.900,3.300e-08,1.400e-08,3.400e-09,8.000e-10,F,8.200,9.300,3EG J0737+1721,EGR J0737+1720       ,,bzb,,CGRaBS J0738+1742,PKS 0735+178,
0FGL J0818.3+4222,124.579,42.367,178.244,33.409,0.083,20.900,6.200e-08,1.100e-08,7.900e-09,1.100e-09,F,12.400,16.700,,,,bzb,,CGRaBS J0818+4222,OJ 425,
0FGL J0824.9+5551,126.239,55.859,161.981,35.142,0.214,10.600,1.070e-07,1.300e-08,1.700e-09,5.000e-10,T,11.500,5.200,,,,bzq,,CGRaBS J0824+5552,TXS 0820+560,
0FGL J0826.0-2228,126.500,-22.480,243.964,8.941,0.144,12.700,5.100e-08,1.300e-08,5.000e-09,9.000e-10,F,8.200,10.600,,,,bzb,,BZB J0826-2230,PKS 0823-223,
0FGL J0835.4-4510,128.865,-45.170,263.560,-2.767,0.042,374.200,8.031e-06,5.700e-08,1.121e-06,1.230e-08,F,295.900,255.600,3EG J0834$-$4511,EGR J0834$-$4512,1AGL J0835$-$4509,PSR,,PSR J0835-4510,Vela,
0FGL J0855.4+2009,133.857,20.162,206.810,35.974,0.178,15.100,7.400e-08,1.300e-08,4.300e-09,8.000e-10,F,12.300,10.000,3EG J0853+1941,,,bzb,,CGRaBS J0854+2006,OJ 287,
